"","vote_2019","gender","edu","age","province","dummy_vote"
"5059","Liberal Party","Female","Didn't graduate college","30 to 44","AB",1
"5060","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5061","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5062","Conservative Party","Male","Graduated college","60 plus","MB",0
"5063","Liberal Party","Female","Graduated high school","60 plus","NL",1
"5064","Liberal Party","Female","Didn't graduate college","60 plus","AB",1
"5065","Liberal Party","Female","Graduated college","45 to 59","ON",1
"5066","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"5067","Liberal Party","Female","Didn't graduate college","30 to 44","MB",1
"5068","Conservative Party","Male","Didn't graduate high school","60 plus","BC",0
"5069","Liberal Party","Male","Didn't graduate college","60 plus","BC",1
"5070","Liberal Party","Female","Graduated college","60 plus","BC",1
"5071","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"5072","Liberal Party","Male","Didn't graduate college","45 to 59","NB",1
"5073","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"5074","Conservative Party","Male","Graduated college","60 plus","AB",0
"5075","Conservative Party","Male","Graduated college","45 to 59","SK",0
"5076","Conservative Party","Male","Graduated high school","60 plus","NB",0
"5077","Conservative Party","Male","Graduated college","60 plus","AB",0
"5078","Conservative Party","Male","Graduated high school","60 plus","QC",0
"5079","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"5080","Liberal Party","Male","Graduated college","60 plus","NB",1
"5081","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5082","Conservative Party","Female","Graduated college","60 plus","MB",0
"5083","Conservative Party","Female","Graduated college","45 to 59","BC",0
"5084","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"5085","Liberal Party","Female","Graduated college","30 to 44","SK",1
"5086","Conservative Party","Male","Graduated college","60 plus","QC",0
"5087","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"5088","Conservative Party","Female","Graduated college","30 to 44","AB",0
"5089","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"5090","Liberal Party","Female","Didn't graduate college","30 to 44","BC",1
"5091","Conservative Party","Male","Graduated high school","30 to 44","ON",0
"5092","Liberal Party","Female","Graduated college","60 plus","MB",1
"5093","Conservative Party","Female","Graduated college","30 to 44","ON",0
"5094","Liberal Party","Male","Graduated college","18 to 29","ON",1
"5095","Liberal Party","Female","Graduated college","45 to 59","ON",1
"5096","Conservative Party","Female","Graduated college","60 plus","AB",0
"5097","Liberal Party","Male","Graduated high school","60 plus","NB",1
"5098","Liberal Party","Male","Graduated college","30 to 44","QC",1
"5099","Liberal Party","Male","Graduated college","60 plus","QC",1
"5100","Conservative Party","Male","Graduated high school","60 plus","ON",0
"5101","Liberal Party","Male","Graduated college","60 plus","ON",1
"5102","Conservative Party","Female","Graduated high school","60 plus","AB",0
"5103","Conservative Party","Female","Graduated college","18 to 29","BC",0
"5104","Conservative Party","Female","Didn't graduate high school","45 to 59","AB",0
"5105","Conservative Party","Female","Graduated college","18 to 29","AB",0
"5106","Liberal Party","Male","Graduated college","45 to 59","QC",1
"5107","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"5108","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"5109","Conservative Party","Male","Graduated college","60 plus","ON",0
"5110","Liberal Party","Female","Graduated college","60 plus","MB",1
"5111","Liberal Party","Female","Graduated college","60 plus","QC",1
"5112","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"5113","Liberal Party","Male","Graduated college","60 plus","NL",1
"5114","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"5115","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"5116","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"5117","Liberal Party","Female","Graduated high school","60 plus","ON",1
"5118","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"5119","Liberal Party","Female","Graduated college","60 plus","ON",1
"5120","Conservative Party","Female","Graduated college","45 to 59","SK",0
"5121","Conservative Party","Female","Didn't graduate college","30 to 44","NL",0
"5122","Liberal Party","Female","Didn't graduate college","45 to 59","BC",1
"5123","Liberal Party","Female","Graduated college","45 to 59","NS",1
"5124","Liberal Party","Female","Graduated high school","60 plus","QC",1
"5125","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"5126","Liberal Party","Male","Didn't graduate college","18 to 29","ON",1
"5127","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"5128","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"5129","Liberal Party","Female","Graduated college","30 to 44","ON",1
"5130","Conservative Party","Female","Graduated college","18 to 29","AB",0
"5131","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"5132","Conservative Party","Female","Graduated college","30 to 44","MB",0
"5133","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"5134","Conservative Party","Male","Graduated college","30 to 44","BC",0
"5135","Conservative Party","Female","Graduated college","30 to 44","ON",0
"5136","Liberal Party","Female","Graduated college","60 plus","NS",1
"5137","Liberal Party","Female","Graduated college","45 to 59","ON",1
"5138","Liberal Party","Female","Graduated college","60 plus","QC",1
"5139","Liberal Party","Female","Graduated college","60 plus","ON",1
"5140","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"5141","Liberal Party","Male","Graduated college","45 to 59","ON",1
"5142","Conservative Party","Male","Graduated college","60 plus","ON",0
"5143","Conservative Party","Female","Graduated college","18 to 29","ON",0
"5144","Conservative Party","Female","Didn't graduate college","60 plus","SK",0
"5145","Liberal Party","Male","Graduated college","45 to 59","ON",1
"5146","Liberal Party","Male","Graduated college","60 plus","BC",1
"5147","Liberal Party","Female","Graduated college","45 to 59","BC",1
"5148","Liberal Party","Female","Graduated college","60 plus","ON",1
"5149","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"5150","Conservative Party","Male","Graduated college","45 to 59","AB",0
"5151","Liberal Party","Female","Didn't graduate high school","60 plus","ON",1
"5152","Conservative Party","Female","Graduated college","60 plus","ON",0
"5153","Liberal Party","Male","Graduated college","60 plus","QC",1
"5154","Conservative Party","Male","Graduated college","30 to 44","MB",0
"5155","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"5156","Conservative Party","Male","Graduated college","30 to 44","ON",0
"5157","Liberal Party","Female","Graduated college","45 to 59","ON",1
"5158","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"5159","Conservative Party","Female","Didn't graduate college","30 to 44","NB",0
"5160","Liberal Party","Female","Graduated college","18 to 29","BC",1
"5161","Liberal Party","Female","Graduated college","45 to 59","ON",1
"5162","Conservative Party","Male","Graduated high school","60 plus","ON",0
"5163","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5164","Conservative Party","Male","Graduated college","60 plus","ON",0
"5165","Liberal Party","Male","Graduated college","45 to 59","ON",1
"5166","Conservative Party","Male","Graduated high school","30 to 44","ON",0
"5167","Conservative Party","Male","Didn't graduate college","45 to 59","BC",0
"5168","Liberal Party","Female","Graduated college","30 to 44","NL",1
"5169","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"5170","Liberal Party","Male","Graduated college","60 plus","ON",1
"5171","Conservative Party","Male","Didn't graduate college","30 to 44","AB",0
"5172","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"5173","Liberal Party","Female","Graduated college","30 to 44","QC",1
"5174","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"5175","Liberal Party","Male","Didn't graduate college","60 plus","AB",1
"5176","Conservative Party","Male","Graduated college","30 to 44","ON",0
"5177","Liberal Party","Female","Graduated college","45 to 59","NB",1
"5178","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"5179","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"5180","Liberal Party","Male","Didn't graduate college","45 to 59","QC",1
"5181","Conservative Party","Female","Graduated high school","18 to 29","AB",0
"5182","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"5183","Liberal Party","Male","Graduated high school","45 to 59","QC",1
"5184","Conservative Party","Female","Graduated college","30 to 44","MB",0
"5185","Liberal Party","Male","Didn't graduate college","60 plus","NL",1
"5186","Conservative Party","Female","Graduated high school","30 to 44","QC",0
"5187","Conservative Party","Female","Graduated college","60 plus","AB",0
"5188","Liberal Party","Male","Graduated college","30 to 44","ON",1
"5189","Liberal Party","Female","Graduated college","18 to 29","ON",1
"5190","Liberal Party","Male","Graduated college","45 to 59","QC",1
"5191","Conservative Party","Female","Graduated college","45 to 59","BC",0
"5192","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"5193","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"5194","Liberal Party","Female","Graduated college","30 to 44","ON",1
"5195","Liberal Party","Female","Graduated college","18 to 29","ON",1
"5196","Conservative Party","Female","Graduated college","45 to 59","AB",0
"5197","Liberal Party","Female","Graduated college","45 to 59","QC",1
"5198","Liberal Party","Male","Graduated college","30 to 44","ON",1
"5199","Conservative Party","Male","Graduated high school","60 plus","BC",0
"5200","Conservative Party","Male","Graduated college","60 plus","SK",0
"5201","Liberal Party","Female","Graduated college","45 to 59","QC",1
"5202","Conservative Party","Male","Graduated college","45 to 59","SK",0
"5203","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"5204","Conservative Party","Female","Graduated college","45 to 59","ON",0
"5205","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5206","Liberal Party","Female","Graduated college","45 to 59","ON",1
"5207","Liberal Party","Female","Graduated college","18 to 29","ON",1
"5208","Liberal Party","Male","Graduated college","30 to 44","MB",1
"5209","Liberal Party","Female","Graduated high school","45 to 59","AB",1
"5210","Liberal Party","Male","Graduated college","30 to 44","ON",1
"5211","Conservative Party","Male","Graduated college","60 plus","MB",0
"5212","Conservative Party","Male","Graduated college","18 to 29","ON",0
"5213","Conservative Party","Female","Didn't graduate college","30 to 44","QC",0
"5214","Conservative Party","Male","Didn't graduate college","30 to 44","PE",0
"5215","Liberal Party","Male","Graduated college","60 plus","QC",1
"5216","Liberal Party","Female","Graduated high school","60 plus","ON",1
"5217","Liberal Party","Female","Graduated college","18 to 29","ON",1
"5218","Conservative Party","Female","Graduated college","45 to 59","AB",0
"5219","Conservative Party","Male","Graduated high school","60 plus","QC",0
"5220","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"5221","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"5222","Liberal Party","Male","Graduated college","60 plus","BC",1
"5223","Conservative Party","Male","Graduated high school","60 plus","QC",0
"5224","Conservative Party","Male","Graduated college","45 to 59","MB",0
"5225","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"5226","Conservative Party","Male","Didn't graduate college","45 to 59","MB",0
"5227","Liberal Party","Male","Graduated college","30 to 44","ON",1
"5228","Liberal Party","Male","Graduated college","18 to 29","BC",1
"5229","Conservative Party","Female","Didn't graduate college","60 plus","MB",0
"5230","Liberal Party","Male","Graduated high school","45 to 59","ON",1
"5231","Conservative Party","Female","Graduated college","60 plus","ON",0
"5232","Liberal Party","Female","Graduated college","18 to 29","BC",1
"5233","Liberal Party","Male","Graduated college","30 to 44","QC",1
"5234","Liberal Party","Female","Graduated college","60 plus","QC",1
"5235","Liberal Party","Female","Graduated college","30 to 44","QC",1
"5236","Conservative Party","Female","Didn't graduate college","60 plus","SK",0
"5237","Liberal Party","Male","Graduated high school","60 plus","ON",1
"5238","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"5239","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"5240","Conservative Party","Female","Graduated college","30 to 44","QC",0
"5241","Liberal Party","Female","Graduated high school","45 to 59","BC",1
"5242","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"5243","Liberal Party","Male","Didn't graduate college","45 to 59","BC",1
"5244","Conservative Party","Female","Didn't graduate college","30 to 44","BC",0
"5245","Conservative Party","Female","Didn't graduate college","60 plus","QC",0
"5246","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"5247","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"5248","Conservative Party","Male","Didn't graduate high school","60 plus","NS",0
"5249","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"5250","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"5251","Liberal Party","Male","Graduated college","18 to 29","QC",1
"5252","Liberal Party","Female","Didn't graduate high school","45 to 59","ON",1
"5253","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5254","Conservative Party","Female","Graduated college","45 to 59","ON",0
"5255","Conservative Party","Female","Graduated college","45 to 59","QC",0
"5256","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5257","Liberal Party","Female","Graduated college","30 to 44","AB",1
"5258","Conservative Party","Male","Graduated college","60 plus","ON",0
"5259","Liberal Party","Female","Graduated high school","60 plus","ON",1
"5260","Conservative Party","Female","Didn't graduate college","18 to 29","AB",0
"5261","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"5262","Liberal Party","Female","Graduated college","60 plus","ON",1
"5263","Conservative Party","Female","Didn't graduate college","30 to 44","BC",0
"5264","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"5265","Liberal Party","Female","Didn't graduate college","30 to 44","NL",1
"5266","Liberal Party","Male","Graduated college","30 to 44","MB",1
"5267","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"5268","Conservative Party","Female","Graduated college","60 plus","NB",0
"5269","Liberal Party","Male","Graduated college","45 to 59","BC",1
"5270","Conservative Party","Female","Didn't graduate high school","18 to 29","AB",0
"5271","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"5272","Conservative Party","Female","Graduated high school","45 to 59","ON",0
"5273","Liberal Party","Male","Didn't graduate high school","60 plus","QC",1
"5274","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"5275","Liberal Party","Male","Graduated college","45 to 59","MB",1
"5276","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"5277","Liberal Party","Male","Didn't graduate college","60 plus","MB",1
"5278","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"5279","Conservative Party","Female","Graduated high school","30 to 44","BC",0
"5280","Liberal Party","Female","Graduated high school","60 plus","BC",1
"5281","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"5282","Liberal Party","Female","Graduated college","60 plus","ON",1
"5283","Liberal Party","Male","Graduated college","60 plus","ON",1
"5284","Conservative Party","Male","Graduated college","45 to 59","AB",0
"5285","Liberal Party","Female","Graduated college","60 plus","QC",1
"5286","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"5287","Conservative Party","Female","Graduated college","60 plus","QC",0
"5288","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"5289","Liberal Party","Female","Didn't graduate college","45 to 59","BC",1
"5290","Liberal Party","Female","Graduated college","18 to 29","QC",1
"5291","Conservative Party","Male","Graduated college","60 plus","ON",0
"5292","Liberal Party","Male","Graduated college","45 to 59","QC",1
"5293","Conservative Party","Female","Graduated college","60 plus","BC",0
"5294","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"5295","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"5296","Conservative Party","Female","Graduated college","30 to 44","AB",0
"5297","Liberal Party","Male","Graduated college","45 to 59","QC",1
"5298","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"5299","Liberal Party","Male","Graduated college","60 plus","BC",1
"5300","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"5301","Liberal Party","Female","Graduated college","60 plus","NS",1
"5302","Conservative Party","Male","Graduated college","45 to 59","SK",0
"5303","Liberal Party","Female","Graduated college","60 plus","QC",1
"5304","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"5305","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"5306","Conservative Party","Male","Graduated college","45 to 59","BC",0
"5307","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"5308","Liberal Party","Female","Graduated high school","18 to 29","QC",1
"5309","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"5310","Liberal Party","Female","Graduated college","45 to 59","ON",1
"5311","Conservative Party","Male","Graduated college","18 to 29","SK",0
"5312","Liberal Party","Female","Graduated college","60 plus","BC",1
"5313","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"5314","Conservative Party","Male","Graduated college","45 to 59","AB",0
"5315","Liberal Party","Female","Graduated college","18 to 29","NS",1
"5316","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"5317","Liberal Party","Male","Didn't graduate college","45 to 59","QC",1
"5318","Liberal Party","Male","Graduated college","60 plus","BC",1
"5319","Liberal Party","Male","Graduated college","60 plus","ON",1
"5320","Conservative Party","Male","Graduated college","60 plus","ON",0
"5321","Conservative Party","Female","Graduated high school","60 plus","MB",0
"5322","Liberal Party","Male","Graduated college","45 to 59","QC",1
"5323","Liberal Party","Female","Graduated college","60 plus","BC",1
"5324","Conservative Party","Female","Didn't graduate college","60 plus","QC",0
"5325","Liberal Party","Male","Graduated high school","30 to 44","QC",1
"5326","Conservative Party","Male","Graduated college","30 to 44","ON",0
"5327","Liberal Party","Female","Graduated college","18 to 29","ON",1
"5328","Conservative Party","Female","Didn't graduate college","30 to 44","QC",0
"5329","Liberal Party","Female","Graduated college","30 to 44","ON",1
"5330","Liberal Party","Female","Graduated college","60 plus","ON",1
"5331","Liberal Party","Male","Graduated college","45 to 59","MB",1
"5332","Liberal Party","Male","Graduated college","18 to 29","QC",1
"5333","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"5334","Conservative Party","Female","Graduated college","45 to 59","QC",0
"5335","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"5336","Conservative Party","Male","Graduated high school","30 to 44","QC",0
"5337","Liberal Party","Female","Didn't graduate college","30 to 44","NL",1
"5338","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5339","Liberal Party","Female","Graduated college","60 plus","NB",1
"5340","Liberal Party","Male","Didn't graduate college","60 plus","BC",1
"5341","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"5342","Conservative Party","Female","Graduated high school","60 plus","AB",0
"5343","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5344","Conservative Party","Female","Graduated high school","45 to 59","MB",0
"5345","Liberal Party","Female","Graduated college","60 plus","ON",1
"5346","Conservative Party","Female","Didn't graduate college","60 plus","QC",0
"5347","Conservative Party","Male","Graduated high school","60 plus","ON",0
"5348","Conservative Party","Female","Graduated college","45 to 59","AB",0
"5349","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"5350","Conservative Party","Male","Graduated college","60 plus","ON",0
"5351","Liberal Party","Male","Graduated high school","30 to 44","AB",1
"5352","Conservative Party","Female","Didn't graduate high school","60 plus","BC",0
"5353","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"5354","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"5355","Conservative Party","Female","Didn't graduate college","18 to 29","SK",0
"5356","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"5357","Conservative Party","Female","Graduated college","18 to 29","NB",0
"5358","Liberal Party","Female","Graduated high school","18 to 29","PE",1
"5359","Liberal Party","Female","Graduated college","60 plus","ON",1
"5360","Conservative Party","Female","Graduated college","30 to 44","ON",0
"5361","Liberal Party","Male","Didn't graduate college","30 to 44","AB",1
"5362","Conservative Party","Female","Graduated high school","18 to 29","BC",0
"5363","Conservative Party","Female","Graduated college","18 to 29","QC",0
"5364","Conservative Party","Female","Graduated high school","30 to 44","QC",0
"5365","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5366","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"5367","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"5368","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"5369","Conservative Party","Male","Graduated college","60 plus","ON",0
"5370","Conservative Party","Female","Graduated college","30 to 44","AB",0
"5371","Conservative Party","Female","Didn't graduate college","45 to 59","QC",0
"5372","Liberal Party","Male","Graduated college","60 plus","BC",1
"5373","Liberal Party","Male","Graduated college","45 to 59","NT",1
"5374","Conservative Party","Male","Graduated college","60 plus","AB",0
"5375","Liberal Party","Female","Graduated college","60 plus","ON",1
"5376","Conservative Party","Female","Graduated college","45 to 59","SK",0
"5377","Conservative Party","Male","Graduated college","60 plus","BC",0
"5378","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"5379","Conservative Party","Female","Graduated high school","30 to 44","ON",0
"5380","Conservative Party","Female","Graduated high school","30 to 44","QC",0
"5381","Liberal Party","Male","Didn't graduate college","18 to 29","ON",1
"5382","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"5383","Liberal Party","Female","Didn't graduate college","45 to 59","PE",1
"5384","Liberal Party","Female","Didn't graduate college","45 to 59","NL",1
"5385","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"5386","Liberal Party","Female","Graduated college","18 to 29","SK",1
"5387","Conservative Party","Male","Graduated high school","45 to 59","MB",0
"5388","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"5389","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"5390","Liberal Party","Female","Graduated college","30 to 44","AB",1
"5391","Conservative Party","Male","Graduated college","60 plus","BC",0
"5392","Conservative Party","Female","Graduated college","30 to 44","ON",0
"5393","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"5394","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"5395","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"5396","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"5397","Conservative Party","Male","Graduated high school","60 plus","ON",0
"5398","Liberal Party","Male","Graduated college","60 plus","ON",1
"5399","Conservative Party","Female","Graduated college","18 to 29","NL",0
"5400","Liberal Party","Female","Graduated college","18 to 29","ON",1
"5401","Liberal Party","Male","Graduated college","60 plus","QC",1
"5402","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"5403","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"5404","Conservative Party","Male","Graduated college","60 plus","AB",0
"5405","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"5406","Liberal Party","Male","Graduated college","60 plus","ON",1
"5407","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"5408","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"5409","Liberal Party","Male","Didn't graduate college","45 to 59","QC",1
"5410","Liberal Party","Male","Graduated college","45 to 59","ON",1
"5411","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"5412","Liberal Party","Female","Graduated college","18 to 29","NB",1
"5413","Conservative Party","Male","Graduated college","45 to 59","ON",0
"5414","Liberal Party","Male","Didn't graduate college","45 to 59","BC",1
"5415","Conservative Party","Female","Graduated college","60 plus","ON",0
"5416","Liberal Party","Male","Graduated college","30 to 44","ON",1
"5417","Liberal Party","Male","Didn't graduate high school","45 to 59","ON",1
"5418","Conservative Party","Female","Graduated college","45 to 59","QC",0
"5419","Liberal Party","Female","Graduated college","30 to 44","QC",1
"5420","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"5421","Liberal Party","Female","Graduated college","60 plus","BC",1
"5422","Liberal Party","Female","Graduated college","45 to 59","QC",1
"5423","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"5424","Liberal Party","Female","Graduated high school","30 to 44","NS",1
"5425","Conservative Party","Male","Graduated college","18 to 29","AB",0
"5426","Liberal Party","Male","Didn't graduate high school","60 plus","ON",1
"5427","Liberal Party","Male","Didn't graduate high school","18 to 29","AB",1
"5428","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"5429","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"5430","Liberal Party","Male","Graduated college","30 to 44","BC",1
"5431","Liberal Party","Male","Graduated college","45 to 59","BC",1
"5432","Conservative Party","Female","Graduated college","60 plus","QC",0
"5433","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"5434","Liberal Party","Female","Graduated college","30 to 44","SK",1
"5435","Liberal Party","Female","Graduated college","45 to 59","AB",1
"5436","Liberal Party","Female","Graduated college","60 plus","ON",1
"5437","Conservative Party","Male","Didn't graduate college","45 to 59","NB",0
"5438","Liberal Party","Male","Graduated high school","60 plus","QC",1
"5439","Conservative Party","Female","Graduated college","45 to 59","BC",0
"5440","Conservative Party","Male","Graduated college","30 to 44","ON",0
"5441","Liberal Party","Male","Graduated college","30 to 44","BC",1
"5442","Conservative Party","Male","Graduated college","30 to 44","SK",0
"5443","Liberal Party","Male","Graduated college","30 to 44","QC",1
"5444","Conservative Party","Male","Didn't graduate high school","60 plus","ON",0
"5445","Liberal Party","Male","Graduated college","18 to 29","ON",1
"5446","Conservative Party","Male","Graduated college","60 plus","ON",0
"5447","Conservative Party","Female","Graduated college","18 to 29","ON",0
"5448","Liberal Party","Female","Graduated college","60 plus","QC",1
"5449","Conservative Party","Male","Graduated college","45 to 59","QC",0
"5450","Liberal Party","Female","Graduated college","45 to 59","NB",1
"5451","Liberal Party","Male","Graduated college","30 to 44","ON",1
"5452","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"5453","Conservative Party","Female","Graduated college","45 to 59","ON",0
"5454","Conservative Party","Male","Graduated high school","30 to 44","QC",0
"5455","Liberal Party","Female","Graduated college","30 to 44","ON",1
"5456","Conservative Party","Female","Graduated college","60 plus","ON",0
"5457","Liberal Party","Male","Didn't graduate high school","60 plus","BC",1
"5458","Liberal Party","Female","Graduated college","18 to 29","ON",1
"5459","Conservative Party","Female","Graduated college","30 to 44","AB",0
"5460","Conservative Party","Female","Graduated college","30 to 44","QC",0
"5461","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"5462","Conservative Party","Male","Graduated high school","60 plus","AB",0
"5463","Liberal Party","Female","Graduated college","45 to 59","ON",1
"5464","Liberal Party","Male","Graduated high school","60 plus","AB",1
"5465","Conservative Party","Male","Graduated college","30 to 44","ON",0
"5466","Liberal Party","Male","Didn't graduate college","18 to 29","QC",1
"5467","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"5468","Conservative Party","Male","Graduated college","30 to 44","AB",0
"5469","Liberal Party","Male","Graduated college","30 to 44","NS",1
"5470","Conservative Party","Male","Didn't graduate college","45 to 59","BC",0
"5471","Conservative Party","Female","Graduated college","60 plus","SK",0
"5472","Conservative Party","Male","Graduated high school","18 to 29","ON",0
"5473","Liberal Party","Female","Graduated college","30 to 44","QC",1
"5474","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"5475","Liberal Party","Male","Graduated college","18 to 29","ON",1
"5476","Conservative Party","Male","Graduated college","45 to 59","NB",0
"5477","Liberal Party","Male","Graduated college","30 to 44","NB",1
"5478","Liberal Party","Female","Graduated college","30 to 44","NB",1
"5479","Conservative Party","Male","Didn't graduate high school","45 to 59","SK",0
"5480","Liberal Party","Male","Didn't graduate college","30 to 44","NB",1
"5481","Liberal Party","Female","Graduated college","30 to 44","ON",1
"5482","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"5483","Conservative Party","Female","Didn't graduate college","18 to 29","BC",0
"5484","Liberal Party","Male","Graduated college","60 plus","QC",1
"5485","Conservative Party","Male","Graduated college","60 plus","NS",0
"5486","Liberal Party","Female","Graduated high school","60 plus","ON",1
"5487","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"5488","Liberal Party","Female","Graduated high school","60 plus","ON",1
"5489","Conservative Party","Male","Graduated college","30 to 44","AB",0
"5490","Liberal Party","Male","Graduated college","60 plus","QC",1
"5491","Liberal Party","Female","Didn't graduate high school","60 plus","QC",1
"5492","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"5493","Liberal Party","Female","Graduated college","45 to 59","MB",1
"5494","Conservative Party","Male","Graduated college","60 plus","BC",0
"5495","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"5496","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
